Components,Pressure_kPa,Temperature_C,Speed_mms,Cells (e6/ml),Needle_um,Has_Cells,num_components,contains_alginate,contains_gelatin,contains_pcl,contains_gelatin_methacrylated,contains_hydroxyapatite,contains_hyaluronic_acid,contains_pluronic_f127,contains_plga,contains_methylcellulose,contains_beta_tricalcium_phosphate,contains_chitosan,contains_fibrinogen,contains_carbopol,contains_polypropylene_fumarate_ppf,contains_diethyl_fumarate_def,contains_diclofenac_sodium,contains_lactose,contains_polyplasdone,contains_gellan_gum,contains_laponite,contains_glycerol,contains_pegda,contains_collagen,contains_hyaluronic_acid_methacrylated,contains_hydroxypropyl_methylcellulose,alginate_conc,gelatin_conc,pcl_conc,gelatin_methacrylated_conc,hydroxyapatite_conc,hyaluronic_acid_conc,pluronic_f127_conc,plga_conc,methylcellulose_conc,beta_tricalcium_phosphate_conc,chitosan_conc,fibrinogen_conc,carbopol_conc,polypropylene_fumarate_ppf_conc,diethyl_fumarate_def_conc,diclofenac_sodium_conc,lactose_conc,polyplasdone_conc,gellan_gum_conc,laponite_conc,glycerol_conc,pegda_conc,collagen_conc,hyaluronic_acid_methacrylated_conc,hydroxypropyl_methylcellulose_conc,dominant_material_type,total_solid_content,has_synthetic_polymer,has_natural_polymer,volumetric_flow_rate,wall_shear_rate,specific_pressure,throughput_capacity,temp_stress,shear_stress_risk,resolution_capability,is_synthetic,data_origin,parent_real_id
PCL [100 wt%] ,500.0,160.0,12.0,,310.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0009057211620299375,309.67739288419307,552045.6724602849,1153200.0,1.0,0.0,0.003225806441207,0,real,10.0
PCL [100 wt%] ,550.0,160.0,1.0,,210.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,3.463605900582747e-05,38.095227620267735,15878946.301632186,44100.0,1.0,1.0,0.004761904739229,0,real,11.0
PCL [85 wt%] Hydroxyapatite [15 wt%] ,450.0,160.0,1.2,,410.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00015843051752053322,23.414633281222354,2840343.935616716,201720.0,1.0,0.0,0.002439024384295,0,real,12.0
PCL [85 wt%] Hydroxyapatite [15 wt%] ,500.0,160.0,0.5,,310.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,3.773838175124739e-05,12.903224703508045,13248759.698705811,48050.0,1.0,0.0,0.003225806441207,0,real,13.0
PCL [85 wt%] Hydroxyapatite [15 wt%] ,550.0,160.0,0.8,,210.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,2.7708847204661978e-05,30.476182096214192,19848539.616178993,35280.0,1.0,1.0,0.004761904739229,0,real,14.0
PCL [70 wt%] Hydroxyapatite [30 wt%] ,500.0,160.0,1.0,,410.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00013202543126711102,19.51219440101863,3787120.4667224432,168100.0,1.0,0.0,0.002439024384295,0,real,15.0
PCL [70 wt%] Hydroxyapatite [30 wt%] ,550.0,160.0,0.8,,310.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,6.038141080199583e-05,20.645159525612872,9108612.801226888,76880.0,1.0,0.0,0.003225806441207,0,real,16.0
PCL [70 wt%] Hydroxyapatite [30 wt%] ,650.0,160.0,0.5,,210.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,1.7318029502913736e-05,19.047613810133868,37530971.34516947,22050.0,1.0,1.0,0.004761904739229,0,real,17.0
PCL [100 wt%] ,500.0,160.0,1.2,,410.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00015843051752053322,23.414633281222354,3155937.7062407956,201720.0,1.0,0.0,0.002439024384295,0,real,18.0
PCL [85 wt%] Hydroxyapatite [15 wt%] ,500.0,160.0,0.9,,410.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00011882288814039994,17.560974960916766,4207908.088390526,151290.0,1.0,0.0,0.002439024384295,0,real,19.0
PCL [70 wt%] Hydroxyapatite [30 wt%] ,550.0,160.0,0.8,,410.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00010562034501368884,15.609755520814906,5207280.781443546,134480.0,1.0,0.0,0.002439024384295,0,real,20.0
PCL [100 wt%] ,500.0,160.0,1.2,,410.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00015843051752053322,23.414633281222354,3155937.7062407956,201720.0,1.0,0.0,0.002439024384295,0,real,21.0
PCL [70 wt%] Hydroxyapatite [30 wt%] ,570.0,160.0,0.5,,410.0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,6.601271563355551e-05,9.756097200509315,8634569.263819208,84050.0,1.0,0.0,0.002439024384295,0,real,22.0
PCL [70 wt%] Beta Tricalcium Phosphate [30 wt%] ,550.0,160.0,0.8,,410.0,0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00010562034501368884,15.609755520814906,5207280.781443546,134480.0,1.0,0.0,0.002439024384295,0,real,23.0
PCL [70 wt%] Hydroxyapatite [15 wt%] Beta Tricalcium Phosphate [15 wt%] ,570.0,160.0,0.7,,410.0,0,3.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,9.241780188697771e-05,13.65853608071304,6167576.1680731755,117670.0,1.0,0.0,0.002439024384295,0,real,24.0
PLGA [100 wt%] ,900.0,110.0,1.5,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,4.71238898038469e-05,59.999980901412904,19098187.894893095,60000.0,1.0,1.0,0.004999999975,0,real,25.0
PLGA [100 wt%] ,900.0,135.0,0.7,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,2.1991148575128552e-05,27.999991087326016,40923695.87834777,28000.0,1.0,1.0,0.004999999975,0,real,26.0
PLGA [100 wt%] ,900.0,165.0,0.7,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,2.1991148575128552e-05,27.999991087326016,40923695.87834777,28000.0,1.0,1.0,0.004999999975,0,real,27.0
PLGA [100 wt%] ,900.0,150.0,1.5,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,4.71238898038469e-05,59.999980901412904,19098187.894893095,60000.0,1.0,1.0,0.004999999975,0,real,28.0
PLGA [100 wt%] ,900.0,170.0,0.5,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,1.5707963267948967e-05,19.9999936338043,57292132.182667464,20000.0,1.0,1.0,0.004999999975,0,real,29.0
PLGA [100 wt%] ,750.0,95.0,1.5,,400.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0001884955592153876,29.99999880633797,3978852.468829442,240000.0,1.0,0.0,0.00249999999375,0,real,30.0
PLGA [100 wt%] ,800.0,125.0,1.5,,400.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.0001884955592153876,29.99999880633797,4244109.300084738,240000.0,1.0,0.0,0.00249999999375,0,real,31.0
PLGA [100 wt%] ,900.0,140.0,0.5,,400.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,6.283185307179587e-05,9.999999602112657,14323716.909235623,80000.0,1.0,1.0,0.00249999999375,0,real,32.0
PLGA [100 wt%] ,800.0,130.0,1.0,,400.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00012566370614359174,19.999999204225315,6366147.063487133,160000.0,1.0,0.0,0.00249999999375,0,real,33.0
PLGA [100 wt%] ,800.0,145.0,0.5,,400.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,6.283185307179587e-05,9.999999602112657,12732192.808209443,80000.0,1.0,0.0,0.00249999999375,0,real,34.0
PLGA [100 wt%] ,900.0,165.0,4.0,,200.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00012566370614359174,159.9999490704344,7161915.446423025,160000.0,1.0,1.0,0.004999999975,0,real,35.0
PLCL [85 wt%] PLGA [15 wt%] ,650.0,155.0,4.2,,200.0,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,100.0,1,0,0.00013194689145077133,167.9999465239561,4926187.094414538,168000.0,1.0,1.0,0.004999999975,0,real,36.0
Polyurethane [40 wt%] ,250.0,25.0,1.67,,200.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,40.0,1,0,5.246459731494955e-05,66.79997873690637,4765027.232974339,66800.0,0.0,0.0,0.004999999975,0,real,37.0
Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,Primary Human Amniotic Fluid-derived Stem Cells (5),300.0,1,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,68.0,0,1,0.0001413716694115407,53.33332830325167,353675.14957539836,180000.0,0.0,0.0,0.0033333333222222,0,real,38.0
Gelatin [45 mg/mL] Fibrinogen [30 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,Primary Rabbit Ear Chondrocytes (40),300.0,1,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,88.0,0,1,0.0001413716694115407,53.33332830325167,353675.14957539836,180000.0,0.0,0.0,0.0033333333222222,0,real,39.0
Gelatin [35 mg/mL] Fibrinogen [20 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,50.0,18.0,2.0,C2C12 Myoblasts (3),300.0,1,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,68.0,0,1,0.0001413716694115407,53.33332830325167,353675.14957539836,180000.0,0.0,0.0,0.0033333333222222,0,real,40.0
PCL [100 wt%] ,800.0,95.0,4.131116530000002,,250.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00020278570846517756,132.19570741544933,3945031.7333661723,258194.7831250001,1.0,1.0,0.003999999984,0,real,41.0
Pluronic F127 [33 wt%] Glycerol [10 %] ,200.0,18.0,11.2259,,250.0,0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Thermo-responsive,43.0,0,0,0.0005510500776552134,359.22874145481734,362942.76176906016,701618.75,0.0,0.0,0.003999999984,0,real,42.0
Fibrinogen [20 mg/mL] Gelatin [30 mg/mL] Hyaluronic Acid [3 mg/mL] Glycerol [10 %] ,100.0,18.0,1.67,Primary Neonatal Rat Ventricular Cardiomyocytes (10),200.0,1,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Natural_Polymer,63.0,0,1,5.246459731494955e-05,66.79997873690637,1906010.893189736,66800.0,0.0,0.0,0.004999999975,0,real,43.0
PCL [100 wt%] ,750.0,98.0,1.67,,300.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthetic_Polymer,100.0,1,0,0.00011804534395863647,44.53332913321514,6353436.920187892,150300.0,1.0,1.0,0.0033333333222222,0,real,44.0
